SOA_NAME,SOA_CODE,All_usual_residents,Males,Females,Lives_in_household,Lives_in_communal,Males_pct,Females_pct,Household_pct,Communal_pct,CENSUS_YEAR
Andersonstown 1,95GG01S1,1768,822,946,1765,3,46.49,53.51,99.83,0.17,2011
Andersonstown 2,95GG01S2,1523,681,842,1464,59,44.71,55.29,96.13,3.87,2011
Andersonstown 3,95GG01S3,1616,756,860,1616,0,46.78,53.22,100.00,0.00,2011
Ardoyne 1,95GG02S1,1745,824,921,1745,0,47.22,52.78,100.00,0.00,2011
Ardoyne 2,95GG02S2,2018,936,1082,2018,0,46.38,53.62,100.00,0.00,2011
Ardoyne 3,95GG02S3,2224,999,1225,2224,0,44.92,55.08,100.00,0.00,2011
Ballyhackamore 1,95GG03S1,2003,946,1057,1952,51,47.23,52.77,97.45,2.55,2011
Ballyhackamore 2,95GG03S2,1833,886,947,1833,0,48.34,51.66,100.00,0.00,2011
Ballyhackamore 3,95GG03S3,2103,980,1123,2072,31,46.60,53.40,98.53,1.47,2011
Ballymacarrett 1,95GG04S1,1708,802,906,1708,0,46.96,53.04,100.00,0.00,2011
Ballymacarrett 2,95GG04S2,1564,705,859,1564,0,45.08,54.92,100.00,0.00,2011
Ballymacarrett 3,95GG04S3,1636,816,820,1636,0,49.88,50.12,100.00,0.00,2011
Ballynafeigh 1,95GG05S1,1813,908,905,1777,36,50.08,49.92,98.01,1.99,2011
Ballynafeigh 2,95GG05S2,2009,968,1041,2009,0,48.18,51.82,100.00,0.00,2011
Ballynafeigh 3,95GG05S3,2106,1125,981,2106,0,53.42,46.58,100.00,0.00,2011
Ballysillan 1,95GG06S1,1925,899,1026,1866,59,46.70,53.30,96.94,3.06,2011
Ballysillan 2,95GG06S2,1779,859,920,1779,0,48.29,51.71,100.00,0.00,2011
Ballysillan 3,95GG06S3,1922,898,1024,1922,0,46.72,53.28,100.00,0.00,2011
Beechmount 1,95GG07S1,1862,871,991,1844,18,46.78,53.22,99.03,0.97,2011
Beechmount 2,95GG07S2,1922,870,1052,1922,0,45.27,54.73,100.00,0.00,2011
Beechmount 3,95GG07S3,1701,803,898,1701,0,47.21,52.79,100.00,0.00,2011
Bellevue 1,95GG08S1,1394,705,689,1394,0,50.57,49.43,100.00,0.00,2011
Bellevue 2,95GG08S2,1730,817,913,1730,0,47.23,52.77,100.00,0.00,2011
Bellevue 3,95GG08S3,1786,884,902,1786,0,49.50,50.50,100.00,0.00,2011
Belmont 1,95GG09S1,2151,1019,1132,2089,62,47.37,52.63,97.12,2.88,2011
Belmont 2,95GG09S2,1896,898,998,1856,40,47.36,52.64,97.89,2.11,2011
Belmont 3,95GG09S3,2118,1010,1108,2110,8,47.69,52.31,99.62,0.38,2011
Blackstaff 1,95GG10S1,1826,936,890,1826,0,51.26,48.74,100.00,0.00,2011
Blackstaff 2,95GG10S2,2172,1081,1091,2171,1,49.77,50.23,99.95,0.05,2011
Bloomfield 1,95GG11S1,1895,908,987,1895,0,47.92,52.08,100.00,0.00,2011
Bloomfield 2,95GG11S2,1687,843,844,1636,51,49.97,50.03,96.98,3.02,2011
Bloomfield 3,95GG11S3,1871,911,960,1858,13,48.69,51.31,99.31,0.69,2011
Botanic 1,95GG12S1,1555,802,753,1488,67,51.58,48.42,95.69,4.31,2011
Botanic 2,95GG12S2,1958,1067,891,1958,0,54.49,45.51,100.00,0.00,2011
Botanic 3,95GG12S3,1488,724,764,1477,11,48.66,51.34,99.26,0.74,2011
Botanic 4,95GG12S4,1703,903,800,1626,77,53.02,46.98,95.48,4.52,2011
Botanic 5,95GG12S5,2241,1112,1129,2177,64,49.62,50.38,97.14,2.86,2011
