LGD_NAME,URBAN_RURAL,SOA_CODE,SOA_NAME,MDM_RANK,INCOME_RANK,EMPLOYMENT_RANK,HEALTH_RANK,EDUCATION_RANK,ACCESS_RANK,LIVING_ENV_RANK,CRIME_RANK
Belfast,Urban,95GG01S1,Andersonstown 1,388,786,159,143,387,867,505,408
Belfast,Urban,95GG01S2,Andersonstown 2,198,590,110,111,228,755,76,112
Belfast,Urban,95GG01S3,Andersonstown 3,320,439,226,151,295,869,262,331
Belfast,Urban,95GG02S1,Ardoyne 1,16,29,19,19,58,814,78,74
Belfast,Urban,95GG02S2,Ardoyne 2,4,8,15,12,39,827,66,108
Belfast,Urban,95GG02S3,Ardoyne 3,9,67,12,6,19,804,87,16
Belfast,Urban,95GG03S1,Ballyhackamore 1,811,813,784,671,835,853,142,394
Belfast,Urban,95GG03S2,Ballyhackamore 2,823,777,775,766,798,890,209,370
Belfast,Urban,95GG03S3,Ballyhackamore 3,601,646,591,473,364,700,254,233
Belfast,Urban,95GG04S1,Ballymacarrett 1,95,255,91,52,48,642,512,83
Belfast,Urban,95GG04S2,Ballymacarrett 2,78,474,60,33,25,855,276,31
Belfast,Urban,95GG04S3,Ballymacarrett 3,40,80,64,43,17,801,335,53
Belfast,Urban,95GG05S1,Ballynafeigh 1,579,743,486,430,684,847,31,154
Belfast,Urban,95GG05S2,Ballynafeigh 2,652,784,743,634,313,868,39,303
Belfast,Urban,95GG05S3,Ballynafeigh 3,270,251,405,284,151,882,147,88
Belfast,Urban,95GG06S1,Ballysillan 1,109,138,193,144,47,787,68,84
Belfast,Urban,95GG06S2,Ballysillan 2,268,543,224,205,146,766,63,234
Belfast,Urban,95GG06S3,Ballysillan 3,433,463,359,281,270,676,616,367
Belfast,Urban,95GG07S1,Beechmount 1,121,674,70,55,132,744,4,80
Belfast,Urban,95GG07S2,Beechmount 2,66,188,54,37,66,878,29,210
Belfast,Urban,95GG07S3,Beechmount 3,181,508,113,99,162,796,111,91
Belfast,Urban,95GG08S1,Bellevue 1,570,458,470,494,588,565,476,274
Belfast,Urban,95GG08S2,Bellevue 2,123,101,155,157,127,703,177,160
Belfast,Urban,95GG08S3,Bellevue 3,315,292,290,271,204,656,830,186
Belfast,Urban,95GG09S1,Belmont 1,890,882,875,859,866,631,841,792
Belfast,Urban,95GG09S2,Belmont 2,747,841,618,531,508,569,770,652
Belfast,Urban,95GG09S3,Belmont 3,401,637,358,227,170,574,516,260
Belfast,Urban,95GG10S1,Blackstaff 1,58,35,213,186,22,500,8,212
Belfast,Urban,95GG10S2,Blackstaff 2,102,141,215,133,36,641,54,71
Belfast,Urban,95GG11S1,Bloomfield 1,139,218,234,165,60,794,34,48
Belfast,Urban,95GG11S2,Bloomfield 2,656,644,586,554,671,843,67,337
Belfast,Urban,95GG11S3,Bloomfield 3,215,240,302,259,143,851,56,87
Belfast,Urban,95GG12S1,Botanic 1,580,375,851,850,833,833,2,70
Belfast,Urban,95GG12S2,Botanic 2,457,505,883,811,241,687,1,11
Belfast,Urban,95GG12S3,Botanic 3,481,481,856,775,303,815,11,4
Belfast,Urban,95GG12S4,Botanic 4,189,107,588,246,120,786,14,105
Belfast,Urban,95GG12S5,Botanic 5,79,221,149,58,44,713,27,13
Belfast,Urban,95GG13S1,Castleview 1,119,165,111,155,91,661,157,142
Belfast,Urban,95GG13S2,Castleview 2,711,607,709,615,805,651,97,523
Belfast,Urban,95GG13S3,Castleview 3,463,589,342,256,334,702,578,247
Belfast,Urban,95GG14S1,Cavehill 1,819,865,768,749,755,541,601,241
Belfast,Urban,95GG14S2,Cavehill 2,736,517,778,844,844,550,231,335
Belfast,Urban,95GG14S3,Cavehill 3,848,885,780,782,778,441,868,329
Belfast,Urban,95GG15S1,Cherryvalley 1,873,877,867,849,883,602,167,886
Belfast,Urban,95GG15S2,Cherryvalley 2,885,824,865,831,868,829,496,602
Belfast,Urban,95GG15S3,Cherryvalley 3,640,775,427,457,394,740,669,460
Belfast,Urban,95GG16S1,Chichester Park 1,122,196,153,116,141,848,12,60
Belfast,Urban,95GG16S2,Chichester Park 2,377,549,242,234,421,870,178,122
Belfast,Urban,95GG16S3,Chichester Park 3,559,721,476,403,400,578,180,282
Belfast,Urban,95GG17S1,Cliftonville 1,98,161,75,74,183,638,109,100
Belfast,Urban,95GG17S2,Cliftonville 2,515,725,361,334,580,888,55,202
Belfast,Urban,95GG17S3,Cliftonville 3,150,219,120,96,129,864,398,155
Belfast,Urban,95GG18S1,Clonard 1,50,73,49,41,101,737,100,131
Belfast,Urban,95GG18S2,Clonard 2,55,293,46,15,73,885,40,14
Belfast,Urban,95GG19S1,Crumlin 1,24,34,25,34,20,667,422,218
Belfast,Urban,95GG19S2,Crumlin 2,21,30,56,20,10,749,168,68
Belfast,Urban,95GG20S1,Duncairn 1,49,47,106,73,35,515,121,135
Belfast,Urban,95GG20S2,Duncairn 2,53,44,78,89,56,760,360,43
Belfast,Urban,95GG21S1,Falls 1,41,211,27,14,27,818,136,258
Belfast,Urban,95GG21S2,Falls 2,30,233,36,7,9,875,79,2
Belfast,Urban,95GG21S3,Falls 3,29,88,30,11,46,788,258,9
Belfast,Urban,95GG22S1,Falls Park 1,297,692,212,244,293,873,33,25
Belfast,Urban,95GG22S2,Falls Park 2,393,753,185,142,428,863,504,256
Belfast,Urban,95GG22S3,Falls Park 3,338,650,197,140,340,874,306,191
Belfast,Urban,95GG23S1,Finaghy 1,856,828,781,809,816,472,451,847
Belfast,Urban,95GG23S2,Finaghy 2,854,858,764,713,875,877,259,457
Belfast,Urban,95GG23S3,Finaghy 3,859,787,741,703,819,789,552,678
Belfast,Urban,95GG24S1,Fortwilliam 1,685,855,418,405,797,856,266,360
Belfast,Urban,95GG24S2,Fortwilliam 2,298,417,268,277,266,824,32,143
Belfast,Urban,95GG24S3,Fortwilliam 3,611,699,480,464,630,779,89,293
Belfast,Urban,95GG25S1,Glen Road 1,185,424,82,87,220,835,470,164
Belfast,Urban,95GG25S2,Glen Road 2,267,526,160,132,300,819,96,340
Belfast,Urban,95GG25S3,Glen Road 3,158,246,125,106,126,859,199,296
Belfast,Urban,95GG26S1,Glencairn 1,87,353,84,102,15,332,237,219
Belfast,Urban,95GG26S2,Glencairn 2,136,191,118,109,99,800,374,184
Belfast,Mixed urban/rural,95GG27S1,Glencolin 1,391,853,209,215,353,355,305,309
Belfast,Urban,95GG27S2,Glencolin 2,131,385,72,50,168,726,270,133
Belfast,Urban,95GG27S3,Glencolin 3,162,471,88,71,109,708,681,150
Belfast,Urban,95GG27S4,Glencolin 4,116,500,66,39,118,849,77,117
Belfast,Urban,95GG28S1,Highfield 1,522,617,523,383,249,314,803,439
Belfast,Urban,95GG28S2,Highfield 2,343,654,204,185,219,781,357,327
Belfast,Urban,95GG28S3,Highfield 3,60,56,76,66,78,538,352,213
Belfast,Urban,95GG29S1,Island 1,140,404,173,78,34,434,346,250
Belfast,Urban,95GG29S2,Island 2,350,402,399,286,186,792,131,194
Belfast,Urban,95GG30S1,Knock 1,384,547,249,279,283,526,325,398
Belfast,Urban,95GG30S2,Knock 2,882,807,857,796,851,797,602,644
Belfast,Urban,95GG30S3,Knock 3,841,776,745,676,745,721,725,537
Belfast,Urban,95GG31S1,Ladybrook 1,763,851,598,420,578,785,873,615
Belfast,Urban,95GG31S2,Ladybrook 2,368,613,236,196,194,807,736,313
Belfast,Urban,95GG31S3,Ladybrook 3,76,201,63,60,53,813,304,63
Belfast,Urban,95GG32S1,Legoniel 1,161,223,211,129,117,326,454,103
Belfast,Urban,95GG32S2,Legoniel 2,88,111,80,101,121,782,251,92
Belfast,Urban,95GG32S3,Legoniel 3,386,509,291,269,319,733,219,161
Belfast,Urban,95GG33S1,Malone 1,849,868,871,885,881,606,93,467
Belfast,Urban,95GG33S2,Malone 2,875,840,878,875,888,678,213,619
Belfast,Urban,95GG33S3,Malone 3,773,792,860,860,886,821,6,347
Belfast,Urban,95GG34S1,Musgrave 1,256,158,237,253,299,747,440,437
Belfast,Urban,95GG34S2,Musgrave 2,757,860,635,551,785,803,169,332
Belfast,Urban,95GG34S3,Musgrave 3,820,870,820,735,815,735,103,455
Belfast,Urban,95GG35S1,New Lodge 1,25,250,9,10,18,707,114,22
Belfast,Urban,95GG35S2,New Lodge 2,7,63,1,3,49,889,192,51
Belfast,Urban,95GG35S3,New Lodge 3,32,162,37,18,1,881,107,65
Belfast,Urban,95GG36S1,Orangefield 1,667,696,671,435,381,840,466,288
Belfast,Urban,95GG36S2,Orangefield 2,834,779,770,638,712,825,442,667
Belfast,Urban,95GG36S3,Orangefield 3,813,838,682,672,697,727,604,407
Belfast,Urban,95GG37S1,Ravenhill 1,833,856,824,803,862,666,162,338
Belfast,Urban,95GG37S2,Ravenhill 2,668,770,698,584,519,880,41,207
Belfast,Urban,95GG37S3,Ravenhill 3,730,791,785,575,323,811,716,248
Belfast,Urban,95GG38S1,Rosetta 1,846,671,818,778,860,623,643,503
Belfast,Urban,95GG38S2,Rosetta 2,707,761,475,428,753,844,591,420
Belfast,Urban,95GG38S3,Rosetta 3,881,883,831,801,870,852,339,656
Belfast,Urban,95GG39S1,Shaftesbury 1,163,464,128,70,104,739,187,123
Belfast,Urban,95GG39S2,Shaftesbury 2,146,438,146,68,72,769,275,39
Belfast,Urban,95GG39S3,Shaftesbury 3,67,127,81,61,16,808,212,352
Belfast,Urban,95GG40S1,Shankill 1,28,49,44,26,7,654,561,114
Belfast,Urban,95GG40S2,Shankill 2,18,115,20,27,4,776,116,3
Belfast,Urban,95GG41S1,Stormont 1,866,821,827,881,890,334,566,877
Belfast,Urban,95GG41S2,Stormont 2,889,876,876,883,887,652,497,885
Belfast,Urban,95GG41S3,Stormont 3,876,879,773,741,832,750,471,832
Belfast,Urban,95GG42S1,Stranmillis 1,887,832,882,888,880,507,709,866
Belfast,Urban,95GG42S2,Stranmillis 2,888,890,890,882,882,734,273,856
Belfast,Urban,95GG42S3,Stranmillis 3,832,789,889,887,889,836,45,440
Belfast,Urban,95GG42S4,Stranmillis 4,879,808,885,889,877,532,598,579
Belfast,Urban,95GG43S1,Sydenham 1,318,690,195,149,171,474,510,599
Belfast,Urban,95GG43S2,Sydenham 2,627,709,655,427,287,854,173,510
Belfast,Urban,95GG43S3,Sydenham 3,456,633,453,309,232,768,108,252
Belfast,Urban,95GG44S1,The Mount 1,80,282,134,79,8,791,152,17
Belfast,Urban,95GG44S2,The Mount 2,64,145,138,88,6,841,61,54
Belfast,Urban,95GG45S1,Upper Malone 1,843,866,843,870,878,415,200,532
Belfast,Urban,95GG45S2,Upper Malone 2,159,477,116,95,51,646,208,443
Belfast,Urban,95GG45S3,Upper Malone 3,720,735,538,529,708,673,542,470
Belfast,Urban,95GG46S1,Upper Springfield 1,82,538,34,25,65,701,202,116
Belfast,Urban,95GG46S2,Upper Springfield 2,77,605,39,29,77,498,25,141
Belfast,Urban,95GG46S3,Upper Springfield 3,48,442,21,21,23,822,48,130
Belfast,Urban,95GG47S1,Water Works 1,15,89,18,8,26,767,46,35
Belfast,Urban,95GG47S2,Water Works 2,2,23,2,4,63,846,341,21
Belfast,Urban,95GG47S3,Water Works 3,56,133,50,72,123,884,7,5
Belfast,Urban,95GG48S1,Whiterock 1,74,132,86,49,154,883,19,46
Belfast,Urban,95GG48S2,Whiterock 2,23,306,8,1,5,731,130,227
Belfast,Urban,95GG48S3,Whiterock 3,35,322,17,5,29,872,20,146
Belfast,Urban,95GG49S1,Windsor 1,822,802,859,804,847,876,94,298
Belfast,Urban,95GG49S2,Windsor 2,790,788,868,780,796,887,44,272
Belfast,Urban,95GG49S3,Windsor 3,482,342,806,592,409,805,3,145
Belfast,Urban,95GG49S4,Windsor 4,556,693,832,506,359,871,5,73
Belfast,Urban,95GG50S1,Woodstock 1,155,204,279,167,88,823,13,111
Belfast,Urban,95GG50S2,Woodstock 2,128,265,154,76,52,879,303,86
Belfast,Urban,95GG50S3,Woodstock 3,96,160,194,138,28,886,17,66
Belfast,Urban,95GG51S1,Woodvale 1,8,7,45,47,2,610,368,37
Belfast,Urban,95GG51S2,Woodvale 2,12,27,28,56,3,741,118,85
Belfast,Urban,95GG51S3,Woodvale 3,17,12,41,53,12,809,132,177
Belfast,Urban,95II02S3,Beechill 3,549,694,312,248,642,593,732,465
Belfast,Urban,95II07W1,Cregagh,241,666,188,131,80,812,228,283
Belfast,Urban,95II08W1,Downshire,687,703,570,475,473,860,394,477
Belfast,Urban,95II12W1,Gilnahirk,877,878,840,802,829,828,210,818
Belfast,Urban,95II14W1,Hillfoot,884,836,863,842,857,591,613,835
Belfast,Urban,95II16W1,Lisnasharragh,615,871,448,360,248,717,749,749
Belfast,Urban,95II17W1,Lower Braniel,641,697,429,416,483,745,755,511
Belfast,Urban,95II18W1,Minnowburn,293,698,225,153,106,514,640,285
Belfast,Urban,95II21W1,Tullycarnet,248,433,191,182,74,783,753,518
Belfast,Urban,95II22W1,Upper Braniel,614,622,560,443,466,469,403,475
Belfast,Urban,95II23W1,Wynchurch,836,834,727,637,679,861,522,605
Belfast,Mixed urban/rural,95SS06S1,Collin Glen 1,63,378,48,38,50,278,30,165
Belfast,Urban,95SS06S2,Collin Glen 2,20,135,11,2,30,592,98,134
Belfast,Urban,95SS06S3,Collin Glen 3,26,120,35,16,11,765,28,45
Belfast,Urban,95SS07S1,Derryaghy 1,487,639,477,299,261,306,721,378
Belfast,Urban,95SS07S2,Derryaghy 2,554,539,443,367,434,634,523,474
Belfast,Urban,95SS10S1,Dunmurry 1,572,461,460,530,641,795,342,129
Belfast,Urban,95SS10S2,Dunmurry 2,831,831,782,762,841,640,252,417
Belfast,Urban,95SS16S1,Kilwee 1,553,773,344,239,603,718,309,461
Belfast,Urban,95SS16S2,Kilwee 2,107,511,53,40,125,756,102,67
Belfast,Urban,95SS26S1,Poleglass 1,39,167,33,17,40,491,235,82
Belfast,Urban,95SS26S2,Poleglass 2,454,584,282,333,329,663,515,325
Belfast,Urban,95SS29S1,Twinbrook 1,42,96,47,30,70,621,23,245
Belfast,Urban,95SS29S2,Twinbrook 2,36,64,26,28,112,668,59,167
